country,main_cause,project_name,latitude,longitude,magnitude,year
USA,Fracking,"Marshall County region, Oklahoma",34.129808,-96.901521,2.8,2012
USA,Fracking,"McClain County region, Oklahoma",34.981454,-97.658196,2.9,2012
USA,Fracking,"Kay County region, Oklahoma",36.65777,-97.320499,3,2012
Germany,Conventional Oil and Gas,Visselh�vede field,52.9865,9.583473,2.9,2012
USA,Waste fluid disposal,"Timpson, East Texas",31.882951,-94.430778,4.8,2012
Italy,Oil and Gas/Waste fluid injection,"Cavone and San Giacomo fields, Mirandola License (Emilia sequence)",44.884486,10.9408,6.1,2012
USA,Waste fluid disposal,"Cleburne, Texas",32.293,-97.372,3.5,2012
USA,Geothermal,Newberry,43.726024,-121.316311,2.39,2012
Netherlands,Conventional Oil and Gas,Groningen,53.34,6.75,3.4,2012
China,Water reservoir impoundment,Xiaowan,24.704404,100.09117,3.9,2012
Australia,Geothermal,Cooper Basin (Habanero 4),-27.815319,140.754976,3.9,2012
Vietnam,Water reservoir impoundment,Song Tranh 2,15.331268,108.147744,4.7,2012
New Zealand,Geothermal,Rotokawa,-38.613816,176.184116,3.3,2012
Australia,Geothermal,Cooper Basin (Jolokia 1),-27.801046,140.661422,1.6,2011
USA,Fracking,"Blaine County region, Oklahoma",35.754757,-98.43269,2.2,2011
USA,Fracking,"Carter County region, Oklahoma",34.247445,-97.40225,2.2,2011
USA,Fracking,"Marshall County region, Oklahoma",34.18353,-96.721349,2.2,2011
USA,Fracking,"Coal County region, Oklahoma",34.679322,-96.362331,2.6,2011
USA,Fracking,"South Grady County region, Oklahoma",34.907479,-97.744946,2.7,2011
USA,Oil and Gas,Fashing Region (Event B),28.966,-98.343,1.94,2011
USA,Fracking,"Eola-Robberson field, Oklahoma",34.651687,-98.005575,2.9,2011
Kazakhstan,Conventional Oil and Gas,Tengiz field,46.164715,53.391578,3.6,2011
USA,Waste fluid disposal,Arkansas,35.273596,-92.318165,4.7,2011
UK,Fracking,Preese Hall,53.82228333,-2.950583333,2.3,2011
USA,Oil and Gas,Fashing Region (G Cluster),29.246,-97.761,2.4,2011
Germany,Conventional Oil and Gas,Verden field,52.923345,9.231185,2.5,2011
Spain,Groundwater extraction,Lorca,37.678688,-1.692868,5.1,2011
Canada,Fracking,Horn River Basin,59.51,-122.52,3.8,2011
USA,Oil and Gas,Fashing Region (H Cluster),29.361,-97.42,2.62,2011
USA,Oil and Gas,"Dimmit County (M Cluster), Texas",28.212,-99.681,2.72,2011
USA,Oil and Gas,Fashing Region (C Cluster),28.954,-98.196,2.12,2011
USA,Waste fluid disposal,"Lillian (J-A cluster), Barnett Shale, Texas",32.488,-97.171,3,2011
Brazil,Water reservoir impoundment,Funil,-22.528896,-44.567925,3.2,2011
USA,Waste fluid disposal,"Raton Basin, Colorado and New Mexico",37.023281,-104.781255,5.3,2011
USA,Waste fluid disposal,"Fashing Region (A Cluster), Texas",28.924,-98.623,1.82,2011
USA,Waste fluid disposal,"Long Run-1 well, Washington County, Ohio",39.385324,-81.339614,3.1,2011
USA,Conventional Oil and Gas,"Cogdell Field, Texas",32.954945,-100.885326,4.4,2011
USA,Fracking,"Bienville Parish, Louisiana",32.361,-93.268,1.9,2011
Iceland,Geothermal,Hellishei?i (H�sm�li reinjection site),64.037073,-21.393795,4,2011
USA,Conventional Oil and Gas,"Fashing, Texas",28.793293,-98.137085,4.8,2011
USA,Waste fluid disposal,"Prague, Oklahoma",35.561824,-96.749797,5.7,2011
Australia,Geothermal,Well Paralana 2,-30.193843,139.69747,2.5,2011
Canada,Fracking,"Cardston, Alberta (Ninastoko field)",49.319382,-113.307653,3,2011
USA,Waste fluid disposal,"Youngstown, Ohio",41.11855,-80.69215,3.88,2011
USA,Fracking,"Pittsburgh County region, Oklahoma",34.710408,-95.964667,2.2,2010
USA,Fracking,"Blaine County region, Oklahoma",35.769433,-98.453723,2.4,2010
USA,Fracking,"South Grady County region, Oklahoma",34.863688,-97.72181,2.6,2010
USA,Fracking,"Carter County region, Oklahoma",34.283061,-97.44617,2.6,2010
USA,Fracking,"Coal County region, Oklahoma",34.649929,-96.36477,2.8,2010
USA,Fracking,"Coal County region, Oklahoma",34.680873,-96.380005,2.8,2010
USA,Fracking,"Pittsburgh County region, Oklahoma",34.81044,-96.015173,3,2010
USA,Fracking,"Coal County region, Oklahoma",34.650184,-96.355901,3.2,2010
USA,Waste fluid disposal,"Braxton County, West Virginia",38.7,-80.85,3.4,2010
Canada,Waste fluid disposal,Graham (Montney Trend),56.416035,-122.206761,4,2010
China,Water reservoir impoundment,Dongjing/Dongqing,25.52661,105.765367,4.4,2010
Russia,Mining,Mine 15-15bis,60.158281,59.956042,3.5,2010
USA,Oil and Gas,"Dimmit County (K Cluster), Texas",28.49,-100.003,2.98,2010
USA,Oil and Gas/Waste fluid injection,"Fashing Region (F Cluster), Texas",28.988,-97.97,3,2010
USA,Oil and Gas/Waste fluid injection,"Bakken, North Dakota",47.984,-103.978,2.5,2010
Russia,Mining,Kachkanar earthquake,58.910996,59.184059,4.4,2010
Australia,Mining,Kalgoorlie Super Pit,-30.776852,121.505366,5,2010
USA,Conventional Oil and Gas,"Alice (Stratton field), Texas",27.68707,-97.902146,3.9,2010
USA,Oil and Gas,"Dimmit County (L Cluster), Texas",28.385,-100.055,1.83,2010
USA,Oil and Gas/Waste fluid injection,"Cedar Creek Anticline, Montana",46.585,-104.445,2.1,2010
USA,Waste fluid disposal,"Cedar Creek Anticline, North Dakota",46.034,?103.960,1.4,2010
USA,Waste fluid disposal,"Dimmit County (Event J), Texas",28.606,-99.985,1.52,2010
USA,Waste fluid disposal,"Center, Texas",31.744,?94.210,1.5,2010
USA,Oil and Gas,Fashing Region (D Cluster),28.894,-98.187,3,2010
Germany,Geothermal,Insheim,49.153866,8.153706,2.4,2010
Canada,Mining,"Kidd Creek, Ontario",48.690259,-81.373536,3.8,2009
China,Waste fluid disposal,Huangjiachang gas field,29.382689,105.050618,4.4,2009
USA,Mining,"Dillsburg, Pennsylvania",40.103052,-77.012329,2.9,2009
USA,Waste fluid disposal,"Dallas-Fort Worth, Texas",32.855,-97.051,3.3,2009
Germany,Geothermal,Landau,49.186672,8.122912,2.7,2009
USA,Waste fluid disposal,Anadarko Basin (Cluster A),36.05,-99.7,3.1,2009
China,Mining,"Changning, Sichuan ",28.583333,104.916667,4.8,2008
Germany,Mining,Saar/Lorraine,49.38,6.84,3.7,2008
Germany,Mining,"Saar (Primsmulde), Saarland",49.365846,6.842963,4,2008
Germany,Conventional Oil and Gas,Langwedel field,52.978571,9.171021,2.8,2008
China,Water reservoir impoundment,Zipingpu (Wenchuan earthquake),31.036602,103.573959,7.9,2008
Canada,Mining,"Macassa, Ontario",48.141885,-80.072,3.1,2008
Canada,Mining,"Copper Cliff North, Ontario",46.477302,-81.055917,3.8,2008
Canada,Mining,"Fraser, Ontario",46.663895,-81.33994,2.4,2008
Canada,Mining,"Garson, Ontario",46.567953,-80.856625,3.3,2008
Germany,Geothermal,Unterhaching,48.057059,11.59727,2.4,2008
USA,Waste fluid disposal,"Jones, Oklahoma",35.56569,-97.286403,4,2008
Australia,Geothermal,Cooper Basin (Habanero 3),-27.819541,140.751286,1.7,2008
USA,Waste fluid disposal,Oklahoma Panhandle (Cluster E),36.85,-101.6,1.7,2008
USA,Waste fluid disposal,Oklahoma-Texas Border (Cluster B),35.4,-100.24,2.8,2008
South Africa,Mining,"Savuka, Carletonville",-26.423742,27.408734,4.4,2007
Poland,Mining,Bobrek mine,50.346009,18.878044,3.8,2007
UK,Construction,Folkestone,51.104297,1.271382,4.2,2007
Canada,Mining,"Craig, Ontario",46.637213,-81.369341,2.2,2007
China,Water reservoir impoundment,Longtan,25.027447,107.04284,4.2,2007
USA,Mining,"Crandall Canyon, Utah",39.45992,-111.167632,3.9,2007
Algeria,Water reservoir impoundment,Beni Haroun dam/reservoir and the Oued Athmania reservoir,36.374526,6.308338,3.9,2007
Italy,Waste fluid disposal,Val d'Agri oil field (CM2 well),40.325153,15.989455,2,2006
Iceland,Geothermal,Reykjanes,63.825755,-22.681859,3,2006
Switzerland,Mining,MFS Faido (Gotthard basetunnel),46.539587,8.801785,2.4,2006
Iran,Water reservoir impoundment,Karun III,31.802737,50.095373,4.3,2006
Brazil,Water reservoir impoundment,Irap�,-16.737171,-42.575279,3,2006
Canada,Mining,"Creighton, Ontario",46.473321,-81.186642,4.1,2006
Switzerland,Geothermal,Basel,47.585488,7.595567,3.4,2006
USA,Geothermal,"Salton Sea, California",33.163424,-115.6167,5.1,2005
Canada,Water reservoir impoundment,Toulnustouc,50.01479,-68.023217,1.6,2005
South Africa,Mining,Klerksdorp (DRDGold's North West Operations),-26.852943,26.647948,5.3,2005
Canada,Water reservoir impoundment,Toulnustouc,49.970443,-68.159326,0.8,2005
Russia,Mining,Vorkutinskoe earthquake,67.709904,64.489935,3.6,2005
Germany,Conventional Oil and Gas,"Syke (Bassum, Niedersachsen) field",52.912154,8.818457,3.8,2005
Australia,Geothermal,Cooper Basin (Habanero 1 restimulation),-27.815319,140.754976,2.9,2005
USA,Waste fluid disposal,"Tejon, Central Valley (WWF), Kern County, California",34.990114,-118.926051,4.6,2005
Brazil,Water reservoir impoundment,Barra Grande,-27.777052,-51.190314,2.5,2005
Brazil,Water reservoir impoundment,Campos Novos,-27.604176,-51.326545,1.8,2005
USA,Waste fluid disposal,"Dagger Draw, New Mexico",32.527263,-104.308088,4.1,2005
Brazil,Groundwater extraction,"Bebedouro, Paran� Basin",-21.040888,-48.517504,2.9,2005
Germany,Mining,"Saar (Primsmulde), Saarland (Roadway construction)",49.365846,6.842963,3.3,2005
France,Mining,Gardanne,43.451488,5.471328,2.5,2005
Russia,Mining,Mine 14-14bis,60.158281,59.956042,3.2,2004
China,Mining,"Benxi Caitun mine, Shenyang, Liaoning",41.310849,123.733431,2.8,2004
China,Mining,"Wulong mine, Fuxin, Liaoning",41.964849,121.636624,3.8,2004
Spain,Water reservoir impoundment,Itoiz,42.802222,-1.360736,4.6,2004
Germany,Conventional Oil and Gas,Rotenberg/Neuenkirchen and S�hlingen field (Rotenberg earthquake),53.0088,9.6253,4.4,2004
Taiwan,Construction,Taipei 101,25.033985,121.56442,3.8,2004
South Africa,Mining,"TauTona, Carletonville",-26.416686,27.422091,2.2,2004
USA,Geothermal,Coso,36.037358,-117.797806,2.8,2004
USA,Mining,"Florida, New York",41.360181,-74.361405,2.3,2003
China,Mining,"Niwan mine, Xiangtan, Hunan",27.691707,112.438849,2.8,2003
China,Mining,"San he jian mine, Xuzhou, Jiangsu",34.901,116.809,3.4,2003
Kazakhstan,Mining,Stepnyak,52.835711,70.786633,3.5,2003
France,Geothermal,Soultz (GPK-3),48.93092,7.866691,2.9,2003
Netherlands,Conventional Oil and Gas,Appelscha,52.965403,6.417568,2.3,2003
Brazil,Water reservoir impoundment,Itapebi,-15.968583,-39.590946,1.5,2003
El Salvador,Geothermal,Berl�n (Well TR8A),13.524806,-88.508646,4.4,2003
Australia,Geothermal,Cooper Basin (Habanero 1),-27.815319,140.754976,3.7,2003
Belarus,Mining,Soligorsk (Starobin deposit),52.861366,27.559462,4.4,2003
Germany,Geothermal,Bad Urach,48.506892,9.373565,1.8,2002
Spain,Conventional Oil and Gas,Poseidon Norte gas field,37.010417,-6.899884,4.3,2002
China,Mining,"Laohutai mine, Fushun, Liaoning",41.843397,123.941408,3.7,2002
Netherlands,Mining,Montfort,51.129426,5.945422,2,2002
Russia,Mining,Karnasurt Mine,67.88047344,34.66726911,3.6,2002
Netherlands,Conventional Oil and Gas,Schoonebeek,52.672792,6.882075,1.4,2002
USA,Waste fluid disposal,"Avoca, New York",42.414359,-77.458276,2.9,2001
USA,Waste fluid disposal,"Ashtabula, Ohio",41.907742,-80.733883,4.3,2001
China,Mining,"Nanshan mine, Hegang, Heilongjiang",47.271073,130.284285,3.7,2001
Spain,Mining,San Nicol�s (Mieres) and Montsacro (Morc�n � Riosa) mines,43.252837,-5.817935,2.6,2001
Oman,Conventional Oil and Gas,Shuiba reservoir,22.140792,56.021501,2.05,2001
Norway,Conventional Oil and Gas,Ekofisk,56.54919444,3.21,3,2001
Netherlands,Mining,Voerendaal-Kunrade,50.875937,5.933239,3.9,2001
Brazil,Water reservoir impoundment,Machadinho,-27.525285,-51.785059,1.8,2001
Netherlands,Conventional Oil and Gas,Bergermeer (Alkmaar),52.650573,4.716736,3.5,2001
Netherlands,Conventional Oil and Gas,Bergen,52.650573,4.716736,2.7,2001
Italy,Water reservoir impoundment,Montedoglio,43.589065,12.051172,4.3,2001
Germany,Research,KTB,49.815713,12.119527,0.5,2000
USA,Mining,"Springfield Pike Quarry, Pennsylvania",40.013298,-79.539274,0.2,2000
USA,Mining,"Willow Creek, Utah",39.749163,-110.8365,4.2,2000
Italy,Geothermal,Monte Amiata,42.858112,11.704996,4.5,2000
Paraguay,Water reservoir impoundment,Yacyreta,-27.482194,-56.729428,3.9,2000
USA,Waste fluid disposal,"Paradox Valley, Colorado",38.296547,-108.895006,4.3,2000
Canada,Water reservoir impoundment,"SM 3, Quebec",50.790636,-66.791279,2.2,2000
Iceland,Geothermal,Laugaland (Holtum) and Kald�rholt,65.583584,-18.064491,6.6,2000
France,Geothermal,Soultz (GPK-2),48.93092,7.866691,2.4,2000
Spain,Water reservoir impoundment,Tous New,39.13286,-0.650549,4,2000
Netherlands,Conventional Oil and Gas,VriesCentraal,53.078127,6.559676,1,2000
Germany,Mining,"Saar (Dilsburg Ost), Saarland",49.329281,6.936476,3.5,2000
Australia,Mining,"Appin, Tower and West Cliff Collieries",-34.220927,150.81736,4.4,1999
Brazil,Water reservoir impoundment,Serra da Mesa,-13.834047,-48.304573,2.2,1999
Russia,Mining,Umbozero Mine,67.667102,34.13314,5.1,1999
Russia,Mining,Tashtagol Mine,52.764533,87.909153,3.6,1999
Brazil,Water reservoir impoundment,It�,-27.277544,-52.383454,2.5,1999
Netherlands,Conventional Oil and Gas,Ureterp,53.100118,6.187289,1,1999
